"workid","subjectid"
"OL4807804W","421"
"OL4807804W","479"
"OL4807804W","540"
"OL4807804W","994"
"OL4807804W","1687"
"OL4968453W","133"
"OL4968453W","994"
"OL4968453W","1686"
"OL4968453W","1822"
"OL5481955W","133"
"OL5481955W","1753"
"OL9078115W","1146"
"OL9078115W","479"
"OL9078115W","133"
"OL11163968W","133"
"OL13412510W","479"
"OL13412510W","1822"
"OL13412510W","133"
"OL13412510W","1258"
"OL14981671W","794"
"OL14981671W","2298"
"OL14981671W","833"
"OL14981671W","37"
"OL14981671W","2102"
"OL14981671W","1445"
"OL14981671W","38"
"OL14981671W","136"
"OL14981671W","2299"
"OL14981671W","832"
"OL14981671W","133"
"OL14981671W","1444"
"OL14981671W","2106"
"OL14981671W","2105"
"OL14981671W","126"
"OL14981671W","132"
"OL14981671W","2103"
"OL16936921W","1229"
"OL16936921W","133"
"OL16936921W","430"
"OL16936921W","1951"
"OL16941585W","1024"
"OL16941585W","430"
"OL16941585W","1023"
"OL16941585W","426"
"OL16941585W","133"
"OL16941585W","438"
"OL16982427W","446"
"OL16982427W","1024"
"OL16982427W","430"
"OL16982427W","1546"
"OL16982427W","426"
"OL16982427W","418"
"OL16982427W","133"
"OL17920776W","1161"
"OL17920776W","2161"
"OL17920776W","133"
"OL17920776W","1061"
"OL1984277W","479"
"OL1984277W","133"
"OL3028708W","756"
"OL3028708W","133"
"OL3028708W","1140"
"OL3188059W","133"
"OL3188059W","756"
"OL3188059W","839"
"OL3188059W","1232"
"OL3188059W","2038"
"OL3337107W","1421"
"OL3337107W","133"
"OL3923139W","1211"
"OL3923139W","554"
"OL3923139W","1869"
"OL3923139W","982"
"OL3923139W","246"
"OL3923139W","2147"
"OL3923139W","930"
"OL3923139W","1212"
"OL3923139W","133"
"OL4106735W","133"
"OL4106735W","479"
"OL4621193W","133"
"OL4621193W","479"
"OL4621193W","540"
"OL4621193W","994"
"OL4621193W","1504"
"OL5473544W","133"
"OL5473544W","479"
"OL6087449W","133"
"OL6087449W","338"
"OL8505824W","1052"
"OL8505824W","133"
"OL8505824W","1061"
"OL890613W","133"
"OL890613W","540"
"OL890613W","1566"
"OL8947664W","417"
"OL8947664W","2231"
"OL8947664W","568"
"OL8947664W","133"
"OL11852485W","1772"
"OL11852485W","133"
"OL11852485W","1258"
"OL12355730W","479"
"OL12355730W","256"
"OL12355730W","437"
"OL12355730W","133"
"OL12355730W","394"
"OL12833054W","479"
"OL12833054W","756"
"OL12833054W","1822"
"OL12833054W","1772"
"OL12833054W","133"
"OL16944558W","699"
"OL16944558W","133"
"OL16958094W","699"
"OL16958094W","133"
"OL16981618W","1961"
